id_tienda,tamano_tienda,antiguedad_tienda,temperatura,precio_combustible,indice_economico,semana,es_feriado,clientes_estimados,tipo_tienda,ventas_semanales
86,1445.4548367470761,1,2.6113892653006037,0.9255572775671131,97.31356223695674,41,0,376.60886881532133,B,40377.98940575674
35,1973.1957437804642,18,5.603718455365685,1.526209933799828,88.8219030618684,52,0,197.32941856322597,A,59430.33007719102
41,1727.496263568316,24,7.330847355860267,1.2973037167666603,109.27319318140188,15,0,262.737637383029,A,56547.32392485434
97,1284.6341208755075,10,16.074750571147323,0.8624488802769813,98.36247670570577,45,0,392.171919142089,A,36408.752019868865
25,1457.5965461903825,5,9.27810354112601,1.2644974774021958,92.08181151458706,45,0,411.0854094793178,B,40500.51388974282
86,2070.3509007769467,1,7.925685393926561,1.389836985375321,99.06375320016285,27,0,287.249946906644,A,54503.50290326035
84,1714.678994694126,13,8.596053632431667,1.9667079411402786,98.86098194549353,49,0,367.0996433714678,B,40000.03309609993
98,1884.916601265813,25,13.605052346690918,1.2504680818653398,99.48506499291238,23,0,314.4693252136215,B,43086.25257241015
95,1758.435768449052,15,13.25452770618554,1.0157395719764892,98.74643529579237,1,0,250.41313659073762,A,64357.20809522696
95,2372.2170155354497,25,25.609226102424103,1.5651227162986014,116.56144509068513,15,0,409.373742358722,B,59004.55802166705
76,1853.4946874069306,27,22.298760134917526,1.138052783049759,106.03954252508002,31,0,351.52672395525127,C,35933.73137154409
28,1252.6769833910662,29,16.220578312039706,1.4291637490907398,100.4471391946841,12,0,258.66891627956466,C,22689.98732286827
70,1867.950511480064,17,25.42282837009564,0.9754074044143944,108.93363844025097,45,0,260.296934727053,C,40875.55765033378
21,1643.1880272355947,13,24.27651761345578,1.4116819834006682,90.610380911969,18,0,237.4615465029963,A,40171.54467833097
79,1398.943527149953,20,20.327512770300626,0.7529920244126236,101.86350726343281,35,1,215.09137264191176,A,56550.64173194117
24,769.2346158868046,22,34.05608747433378,1.2616013016337626,109.78406764857652,40,1,263.89933718948754,A,28967.527782432546
65,1533.7391506305357,4,7.02599539136777,0.7972939403205109,116.6161354599871,9,0,220.17675541130535,A,48280.04293433278
37,2215.5031707200255,28,,0.7290731230594993,106.40440253699933,15,0,339.67923606707075,C,41069.96009291825
3,1683.2272430926819,9,16.894612748750784,1.002879351207972,116.04106784953686,43,0,325.53820818641583,B,40174.926288293194
16,1065.6029819793894,3,6.368393323990523,1.7332814486063104,91.79506074353931,6,0,283.8130821939186,C,27493.492184042472
40,1040.8717988315786,21,30.199739392387997,1.0228137000314308,87.32284987411127,30,0,265.65891512965976,B,26029.77029014945
96,1405.5860765548332,20,20.457599611298587,2.013928703389656,83.44462834071336,34,0,90.014708315771,C,24949.60420655478
59,1856.7507928087537,23,2.016434863070568,0.9177996611969359,105.73534880835783,28,0,350.68501643798453,A,51393.13534436782
68,1803.054565623085,3,15.458435785102044,1.3624907590596327,107.68372849352086,49,0,223.7214447230175,A,50672.68385507054
33,613.623156274995,2,10.393628673248557,1.412909542864954,95.26314546365883,16,0,343.81351046588895,A,27641.92965952418
12,1597.5934591609716,18,3.6889479210413416,1.4007758287931154,98.64352607342109,46,1,545.4380538501654,B,55724.84137961314
25,1432.0294413121205,18,15.856078569000477,0.941949839346647,102.51768841724028,49,0,170.31081643123537,B,39276.446230366775
4,1382.991463163008,9,16.57315247155819,0.7949287421191276,118.78286215725699,32,0,64.38835905739487,B,29721.80543651549
47,1401.3434142152519,12,1.4887767787866117,0.8393946399024207,102.4850915966596,47,0,,A,47718.74526629547
