transaction_amount,account_balance,transaction_time_seconds,avg_transaction_amount_7d,std_transaction_amount_7d,transactions_last_1h,transactions_last_24h,failed_attempts,num_devices_used,transaction_type,device_type,location_region,is_foreign_transaction,is_high_risk_country,is_fraud
199.3337136712288,0.0,70488,62.541059641156494,41.48424794945176,5,15,1,2,transfer,mobile,rural,1,0,1
33.53412277715951,2687.2596975620622,1594,73.61802650148736,20.889169376776124,0,10,0,1,withdrawal,mobile,rural,0,0,0
7.607832997072096,1766.6664823043222,60663,75.79082129660839,27.265759071484162,0,5,0,3,purchase,tablet,rural,0,0,0
144.06965011970792,1402.5972704775631,32332,61.42456779800025,28.104612028419822,0,15,0,3,withdrawal,mobile,suburban,0,0,0
60.27930025593293,193.5064822720799,49575,53.15353489959485,1.0,3,10,0,1,withdrawal,desktop,rural,0,0,0
78.15345015638545,1904.595764507501,70463,40.00098063967771,38.83498631955326,2,12,0,1,withdrawal,mobile,suburban,0,0,0
129.69502441193373,1338.2836851887917,29731,131.0552976606497,3.140321016059179,2,7,2,4,withdrawal,desktop,urban,0,0,0
188.9847213152484,4590.360082491778,24914,159.3054478167599,24.370245861361376,1,7,1,1,transfer,mobile,urban,0,0,0
146.18802523430224,2592.558941603148,12148,29.427529942394536,15.084900813949274,3,11,0,3,purchase,mobile,urban,0,0,0
132.10450550998198,3824.5563795000207,84726,1.0,26.49846327247071,2,14,0,3,transfer,mobile,rural,0,0,0
27.705398413850695,1415.1727253691624,2791,81.63104731098662,18.0199578167676,4,10,0,4,purchase,desktop,rural,0,0,0
127.4068757393514,2494.4699535159652,43543,22.668553136848722,14.268162293905903,1,13,0,2,withdrawal,desktop,urban,0,0,0
6.015062159724403,2959.5566271935163,7902,114.94627361548325,52.375215250988354,3,9,0,2,withdrawal,mobile,suburban,0,0,0
52.707175735828,3738.0813361605087,30213,79.37763530736541,64.69579473624887,4,6,0,1,transfer,mobile,rural,0,0,0
94.33338063974458,0.0,53048,118.94556281772888,31.868173972246673,0,11,1,2,purchase,tablet,suburban,1,0,0
29.559983478260595,2273.962446423946,63506,180.09303608352485,47.52537074072704,1,9,0,4,payment,tablet,suburban,0,0,0
33.64129369443381,1371.9663378057508,22390,59.977024719575155,48.06365244915938,1,6,0,3,purchase,mobile,rural,0,0,0
115.34816965027161,2296.057614145395,71758,57.04318557863717,13.952225504689288,4,10,0,1,transfer,mobile,rural,0,0,0
183.83463952580553,3200.1214935735225,41629,101.08059557956355,34.68215803147036,2,4,0,2,purchase,desktop,rural,0,0,0
165.62854203120742,4258.73486853893,29328,149.06228969461387,41.05018394671747,5,16,0,3,purchase,mobile,urban,0,0,0
1.0,3574.5035601373393,50399,27.712372230841616,40.030109204427006,1,11,1,1,payment,mobile,suburban,0,0,0
257.19047214080683,1332.8183765059216,79973,89.04541536391164,26.248020349298884,1,16,1,3,withdrawal,desktop,rural,0,0,0
