cliente_id,ingreso_mensual,gasto_promedio_mensual,frecuencia_compra,valor_promedio_compra,visitas_web_mensuales,tiempo_promedio_sesion,porcentaje_descuentos,antiguedad_cliente,productos_categoria,tasa_recompra,edad,distancia_envio_km,dispositivos_registrados,compras_movil_pct,gasto_envio_promedio,interacciones_app
1861,5445.285949356043,282.8603570965724,1.501997599276827,83.49262792499347,104.4214050678933,31.535725607440025,35.38220224544294,11.613134164211482,10.575692636643891,73.7549907580082,33.84563043803986,33.350046949839516,5,80.8003192853762,8.605041192740734,12.550956648937428
354,7187.244764462718,1142.0349181158986,12.994762366549867,126.68953008707524,32.05197227085055,21.625306874030045,6.5916701908864965,32.87764724334919,10.981272962621183,88.09945829266326,36.87244764462719,17.12090773908024,1,57.23017594076833,7.8624890412893835,27.013043273705776
1334,3743.777252681684,110.45215128493524,1.1336905346650834,34.54155308129116,8.823965569625205,5.316391516537551,64.64091616744989,11.286273937442711,0.8914500652067954,27.91866446693289,38.28887184026449,30.64306596350807,2,64.78563278258741,4.3835094797046565,35.00321345138376
906,3033.569881191615,272.54504255288464,10.794983575207551,53.08782444581338,28.06543815571036,13.903964898397938,68.20438617397497,43.001435541007815,5.7924305164965375,87.89447087490856,46.753706265107326,65.7336430837453,3,31.89914273969897,5.507656788733897,24.480340550474303
1290,3920.788606435319,100.47252100762064,3.211918505094888,58.16525496994765,7.454023045856109,5.6977552677713685,55.22176720009033,10.746371257862403,1.1383258415236677,26.307533253040727,59.54963881634316,10.089361450867496,5,90.2501406617564,7.327930329693257,38.423139280220056
1274,6039.669898354439,88.23397601719157,1.4040926868646435,54.769633747166594,10.370179689320569,6.7976405347127775,34.357467293067614,5.497735225962781,1.360623110884025,26.441018057964868,34.85524466592908,47.470509363607356,5,95.66257837671077,6.038892727999841,12.034303335298329
939,2383.1396410907087,224.00957032791095,16.30782299250029,42.834424805297694,49.8080104410344,9.98966999436755,83.73682449326668,33.333036425052065,5.890124488436099,72.25650310251561,34.118723220153136,30.297178303428964,3,79.85287835282483,8.27475458931989,29.98689367660261
1732,5547.779504267485,301.75840215674225,2.0111680648917165,58.44408649430271,91.76544004117508,24.2696640040552,26.81349420887793,17.488665795831967,7.443751071593811,63.91918261269807,42.395682208929394,29.610467514081872,1,58.44608913783148,5.31445884500238,20.505362136574355
66,7426.066354281428,1525.1234910797325,12.829114493845868,197.72899973330289,32.297813559623435,9.440519455296547,24.37476394277899,56.85577824910032,7.194539781684122,89.07075138227124,39.260663542814285,26.309842920240627,2,82.09124882876395,11.02056689644418,32.503756394665714
1324,3465.2020843863133,106.75001675199395,0.6633251645456442,48.98150885370679,8.532209730681485,2.375636036938549,38.47498458708007,6.159355764947319,1.1618874806559316,58.639973548147225,61.400739344709365,19.08843223138775,5,78.12661526914808,8.055695594867178,32.782972109447
